iter	Passed	Remaining
0	0	89
1	1	81
2	2	79
3	2	68
4	3	63
5	3	59
6	4	57
7	4	55
8	5	53
9	5	52
10	6	51
11	6	50
12	7	49
13	7	48
14	8	47
15	8	46
16	9	45
17	9	44
18	10	43
19	10	42
20	11	42
21	11	41
22	12	40
23	12	39
24	13	39
25	15	43
26	15	43
27	16	42
28	17	41
29	17	41
30	18	40
31	18	39
32	19	39
33	19	38
34	20	38
35	21	38
36	21	37
37	22	36
38	22	35
39	23	35
40	23	34
41	24	33
42	24	32
43	25	31
44	25	31
45	26	30
46	26	29
47	27	29
48	27	28
49	28	28
50	29	28
51	30	28
52	31	27
53	31	26
54	31	26
55	32	25
56	32	24
57	33	24
58	34	23
59	34	23
60	35	22
61	36	22
62	36	21
63	37	21
64	37	20
65	38	19
66	38	19
67	39	18
68	39	17
69	40	17
70	40	16
71	41	16
72	41	15
73	42	14
74	42	14
75	45	14
76	46	13
77	46	13
78	47	12
79	47	11
80	48	11
81	48	10
82	49	10
83	49	9
84	50	8
85	50	8
86	51	7
87	51	7
88	52	6
89	52	5
90	53	5
91	53	4
92	54	4
93	54	3
94	55	2
95	55	2
96	56	1
97	56	1
98	56	0
99	57	0
