iter	Passed	Remaining
0	145	145043
1	146	73001
2	147	48878
3	147	36771
4	148	29506
5	148	24662
6	149	21200
7	150	18604
8	150	16585
9	151	15013
10	152	13679
11	152	12568
12	153	11626
13	153	10817
14	154	10116
15	154	9505
16	155	8965
17	156	8533
18	157	8116
19	157	7735
20	158	7398
21	159	7089
22	160	6800
23	160	6535
24	161	6290
25	162	6069
26	162	5859
27	163	5662
28	163	5491
29	164	5318
30	165	5158
31	165	5008
32	166	4866
33	166	4734
34	169	4685
35	171	4599
36	172	4491
37	173	4389
38	174	4290
39	174	4195
40	175	4104
41	176	4017
42	176	3933
43	177	3852
44	177	3775
45	178	3705
46	179	3633
47	179	3564
48	180	3497
49	180	3432
50	181	3370
51	181	3310
52	187	3346
53	188	3294
54	189	3252
55	190	3203
56	190	3154
57	191	3105
58	191	3058
59	192	3013
60	192	2969
61	193	2927
62	194	2886
63	194	2851
64	195	2812
65	196	2773
66	196	2736
67	196	2699
68	202	2728
69	204	2713
70	204	2681
71	205	2649
72	206	2618
73	206	2587
74	207	2559
75	208	2530
76	208	2504
77	209	2475
78	209	2447
79	210	2419
80	210	2393
81	211	2366
82	211	2338
83	212	2313
84	215	2321
85	217	2311
86	218	2291
87	219	2270
88	219	2249
89	220	2228
90	220	2206
91	221	2185
92	222	2165
93	222	2146
94	223	2126
95	223	2107
96	224	2088
97	224	2070
98	225	2051
99	225	2033
100	226	2014
101	229	2019
102	230	2007
103	231	1994
104	232	1980
105	233	1966
106	233	1952
107	234	1936
108	235	1921
109	235	1906
110	236	1891
111	236	1877
112	237	1863
113	238	1853
114	239	1839
115	239	1825
116	239	1810
117	240	1796
118	240	1783
119	248	1819
120	249	1810
121	249	1798
122	250	1786
123	251	1774
124	251	1763
125	252	1752
126	253	1739
127	253	1727
128	254	1716
129	254	1706
130	255	1695
131	256	1685
132	262	1711
133	263	1702
134	264	1693
135	265	1684
136	265	1674
137	266	1664
138	267	1654
139	267	1644
140	268	1634
141	268	1622
142	269	1613
143	270	1608
144	271	1598
145	271	1588
146	274	1594
147	275	1587
148	276	1581
149	277	1573
150	278	1565
151	279	1557
152	279	1548
153	280	1539
154	280	1530
155	281	1522
156	282	1514
157	282	1507
158	283	1499
159	284	1491
160	284	1482
161	285	1474
162	285	1466
163	285	1457
164	286	1449
165	290	1460
166	291	1455
167	292	1448
168	292	1440
169	293	1433
170	294	1426
171	294	1418
172	295	1411
173	295	1403
174	296	1396
175	296	1389
176	297	1382
177	297	1374
178	298	1368
179	298	1361
180	299	1355
181	299	1348
182	300	1341
183	301	1337
184	305	1347
185	306	1341
186	307	1335
187	307	1328
188	308	1322
189	308	1316
190	309	1309
191	309	1303
192	310	1297
193	310	1290
194	311	1284
195	311	1278
196	312	1272
197	312	1266
198	313	1260
199	313	1254
200	314	1249
201	314	1243
202	315	1238
203	315	1232
204	316	1226
205	319	1230
206	320	1227
207	321	1224
208	322	1218
